velocity_score,burst_score,suspicious_neighbor_count,ip_reuse_count,ja3_reuse_count,community_fraud_rate_feat,ring_membership_feat,network_risk_score,is_fraud
0.011904761904761904,0.0,0.5,-0.0,1.5,0.0,0,0.3049684598641933,0
0.5,0.0,0.0,-0.0,4.5,0.0,1,4.979600324211,0
0.41025641025641024,0.5281281655835955,0.0,-0.0,2.25,0.0,1,4.979600324211,0
0.06602768903088392,1.3700232355533295,12.59375,10.0,1.580645161290322,0.3876146788990826,1,899.5325164698365,1
0.5,0.205761316872428,0.8,-0.0,3.125,0.0,0,0.3049684598641933,0
0.5,0.0,0.5,-0.0,4.5,0.0,0,0.3049684598641933,0
0.25,0.0,0.5,-0.0,0.5,0.0,0,1.9796003242109999,0
0.011074918566775244,0.6813389003402035,0.9444444444444434,-0.0,1.5588235294117647,0.0,0,1.9796003242109999,0
0.030303030303030304,1.1195642045534868,0.8571428571428568,-0.0,1.5,0.0,0,0.3049684598641933,0
0.01751505199781062,0.6604511970671081,1.9393939393939392,2.9915411966827925,1.625,0.0,0,0.3049684598641933,0
0.5,0.0,0.0,-0.0,4.5,0.3321637426900585,0,2.0393893155062823,0
0.5,0.053550835060091076,0.6666666666666666,-0.0,2.5,0.0,0,0.3049684598641933,0
0.024390243902439025,0.0,0.5,-0.0,1.5,0.3076923076923077,0,3.440967435784539,1
0.0654487917146145,0.9005171314133036,2.967391304347825,0.5231550627056691,1.4065934065934063,0.3076923076923077,0,3.5297963505845384,1
0.125,0.7109541360932538,1.6666666666666665,2.9128517833640055,2.0999999999999996,0.0,0,0.3049684598641933,0
0.5,0.4652018297279918,1.3333333333333333,3.0,3.25,0.0,0,0.3049684598641933,0
0.5,0.5474375080153916,1.3333333333333333,3.0,3.7499999999999996,0.0,0,0.3049684598641933,0
0.5,0.9036671499640355,0.6666666666666666,-0.0,1.5,0.0,0,0.3049684598641933,0
0.5,0.4566424997248036,1.6,2.4338343733773984,2.9999999999999996,0.0,0,0.3049684598641933,0
0.15384615384615385,0.3542612379293919,0.8,-0.0,1.5,0.0,0,0.3049684598641933,0
3.0,2.4062214851933312,17.802197802197803,8.976198448298161,0.9500000000000006,0.3876146788990826,0,2.8997136620024833,1
0.03571428571428571,1.1094406464130444,0.75,-0.0,1.5,0.0,0,0.3049684598641933,0
1.0,0.2453329755763282,1.5,2.7548875021634687,3.1666666666666665,0.0,0,0.3049684598641933,0
0.017241379310344827,1.604465355512358,0.8571428571428568,-0.0,1.9166666666666665,0.0,0,0.3049684598641933,0
0.5,0.0,0.0,-0.0,4.5,0.0,0,0.3049684598641933,0
0.0125,1.2955277167781485,0.875,-0.0,1.4285714285714284,0.3876146788990826,0,2.716726315858856,1
0.6220149849664262,1.4534914125986111,20.0,3.4031325414224787,1.4301941346551006,0.3876146788990826,1,17.325819717568415,1
0.1299543244437896,0.8227446130109975,20.0,10.0,2.4540816326530606,0.3876146788990826,0,4.730562717137413,1
0.1724137931034483,0.10755497727271714,0.833333333333333,-0.0,1.5,0.0,0,0.3049684598641933,0
0.06591018831482376,1.830866588757495,6.955414012738838,1.1320507037240126,1.298076923076923,0.3321637426900585,0,1.9761316062275704,0
0.5,0.0,0.5,-0.0,1.5,0.0,0,0.3049684598641933,0
0.027936962750716325,0.8323719689679625,2.925,1.029300923642811,1.5512820512820507,0.0,0,0.3049684598641933,0
0.5,0.5222236793862306,5.142857142857142,7.754887502163468,2.75,0.3876146788990826,0,2.3224525621136363,0
1.5,0.4508700823612006,7.466666666666667,7.9153801997584665,2.1071428571428568,0.3876146788990826,0,2.728083302751646,1
0.12162162162162161,0.5331046319043582,0.9,-0.0,0.5,0.0,0,0.3049684598641933,0
1.0,0.6314545601955025,3.333333333333333,5.765784284662088,2.5,0.0,0,0.3049684598641933,0
0.011426806670784434,2.490236912673371,3.8947368421052615,4.170331527164547,1.3918918918918914,0.0,0,0.3049684598641933,0
0.014492753623188406,0.9738664825011147,4.6875,5.569694286392863,1.9666666666666663,0.0,0,0.3049684598641933,0
0.011111111111111112,0.0,0.5,-0.0,1.5,0.0,0,0.3049684598641933,0
0.5,0.0,0.5,-0.0,6.0,0.3321637426900585,0,2.502505165712396,0
0.007501875468867216,0.8543047949892295,5.454545454545454,6.482892142331044,1.3,0.0,0,0.3049684598641933,0
0.5,0.8417937871268422,1.3333333333333333,3.0,3.7499999999999996,0.0,0,0.3049684598641933,0
0.02536662703131193,0.3818995417692242,0.9696969696969696,-0.0,0.8125,0.1333333333333333,0,0.9996814991069302,0
0.038461538461538464,0.37607585060593257,0.75,-0.0,0.5,0.0,0,0.3049684598641933,0
0.08014282880380877,1.4866667909782878,20.0,10.0,1.5346534653465342,0.3876146788990826,0,3.126491047160413,1
0.013268570074635706,1.2841754394611662,12.771929824561399,9.869753244434722,1.1339285714285707,0.3321637426900585,0,2.0694768379840567,1
1.0,0.404346355773919,0.75,-0.0,1.8333333333333328,0.0,0,0.3049684598641933,0
0.03122353937341236,0.9335530209047871,2.95,0.742434361269069,1.3305084745762707,0.0,0,0.3049684598641933,0
1.0,0.6810609544336658,2.5,4.112851783364006,3.6,0.0,0,0.3049684598641933,0
