source,target,amount,is_fraud_edge
10003_X_X,10003_visa_debit,72.31966666666666,0
10003_X_X,13904_mastercard_credit,72.31966666666666,0
10003_visa_debit,10003_X_X,72.31966666666666,0
10003_visa_debit,13904_mastercard_credit,72.31966666666666,0
10004_visa_credit,10023_visa_debit,97.06485,0
10004_visa_credit,10142_visa_debit,492.8175,0
10004_visa_credit,1030_visa_debit,97.06485,0
10004_visa_credit,10486_mastercard_credit,492.8175,0
10004_visa_credit,11106_visa_credit,492.8175,0
10004_visa_credit,11207_visa_debit,97.06485,0
10004_visa_credit,11839_visa_debit,492.8175,0
10004_visa_credit,12133_mastercard_credit,97.06485,0
10004_visa_credit,12779_visa_credit,492.8175,0
10004_visa_credit,13514_visa_credit,97.06485,0
10004_visa_credit,13929_american express_credit,492.8175,0
10004_visa_credit,14276_mastercard_credit,97.06485,0
10004_visa_credit,15063_visa_credit,97.06485,0
10004_visa_credit,15066_mastercard_credit,492.8175,0
10004_visa_credit,1545_mastercard_debit,97.06485,0
10004_visa_credit,15507_american express_credit,492.8175,0
10004_visa_credit,15885_visa_debit,97.06485,0
10004_visa_credit,15890_visa_debit,97.06485,0
10004_visa_credit,16075_mastercard_credit,492.8175,0
10004_visa_credit,16136_visa_debit,97.06485,0
10004_visa_credit,16659_visa_credit,97.06485,0
10004_visa_credit,17347_visa_credit,97.06485,0
10004_visa_credit,2803_visa_debit,492.8175,0
10004_visa_credit,3278_visa_debit,492.8175,0
10004_visa_credit,3682_visa_credit,492.8175,0
10004_visa_credit,4461_mastercard_debit,97.06485,0
10004_visa_credit,5812_mastercard_debit,97.06485,0
10004_visa_credit,6019_visa_credit,492.8175,0
10004_visa_credit,7585_visa_credit,492.8175,0
10004_visa_credit,7664_visa_debit,492.8175,0
10004_visa_credit,8109_visa_debit,492.8175,0
10004_visa_credit,8140_visa_debit,492.8175,0
10004_visa_credit,9002_visa_debit,492.8175,0
10004_visa_credit,9316_visa_credit,97.06485,0
10004_visa_credit,9472_american express_credit,492.8175,0
10004_visa_credit,9571_american express_credit,97.06485,0
10007_X_X,10007_visa_debit,844.28,0
10007_visa_debit,10007_X_X,844.28,0
1000_mastercard_debit,10568_visa_credit,45.869,0
1000_mastercard_debit,11201_visa_debit,45.869,0
1000_mastercard_debit,1164_X_X,45.869,0
1000_mastercard_debit,1164_visa_debit,45.869,0
1000_mastercard_debit,13832_mastercard_debit,45.869,0
1000_mastercard_debit,15885_visa_debit,45.869,0
1000_mastercard_debit,16062_mastercard_credit,45.869,0
1000_mastercard_debit,16136_visa_debit,45.869,0
1000_mastercard_debit,18301_mastercard_credit,45.869,0
1000_mastercard_debit,3154_mastercard_debit,45.869,0
1000_mastercard_debit,3887_mastercard_credit,45.869,0
1000_mastercard_debit,5812_mastercard_debit,45.869,0
1000_mastercard_debit,9300_visa_debit,45.869,0
1000_mastercard_debit,9633_visa_debit,45.869,0
10011_X_X,10011_visa_debit,4880.175,0
10011_visa_debit,10011_X_X,4880.175,0
10011_visa_debit,14540_visa_debit,85.6,0
10011_visa_debit,17188_visa_debit,85.6,0
10011_visa_debit,17598_visa_debit,85.6,0
10011_visa_debit,4425_mastercard_credit,85.6,0
10019_mastercard_debit,10023_visa_debit,109.31110000000001,0
10019_mastercard_debit,10024_visa_credit,71.81500000000001,0
10019_mastercard_debit,10616_visa_credit,109.31110000000001,0
10019_mastercard_debit,10725_visa_credit,66.66178947368421,0
10019_mastercard_debit,11218_visa_debit,109.31110000000001,0
10019_mastercard_debit,11319_visa_credit,109.31110000000001,0
10019_mastercard_debit,11837_visa_credit,66.66178947368421,0
10019_mastercard_debit,11919_mastercard_debit,125.15116666666667,0
10019_mastercard_debit,12253_visa_credit,109.31110000000001,0
10019_mastercard_debit,12570_visa_debit,66.66178947368421,0
10019_mastercard_debit,12581_visa_debit,109.31110000000001,0
10019_mastercard_debit,12695_visa_debit,125.15116666666667,0
10019_mastercard_debit,12789_visa_debit,101.14285714285714,0
10019_mastercard_debit,12839_visa_debit,111.66666666666667,0
10019_mastercard_debit,1284_visa_debit,101.14285714285714,0
10019_mastercard_debit,12857_visa_debit,66.66178947368421,0
10019_mastercard_debit,13052_visa_debit,125.15116666666667,0
10019_mastercard_debit,13307_visa_debit,50.7018,0
10019_mastercard_debit,13676_visa_debit,66.66178947368421,0
10019_mastercard_debit,13780_visa_debit,66.66178947368421,0
10019_mastercard_debit,13906_mastercard_debit,101.14285714285714,0
10019_mastercard_debit,14035_visa_debit,109.31110000000001,0
10019_mastercard_debit,14128_mastercard_credit,109.31110000000001,0
10019_mastercard_debit,1494_mastercard_credit,71.81500000000001,0
10019_mastercard_debit,15007_visa_credit,71.81500000000001,0
10019_mastercard_debit,15063_visa_credit,109.31110000000001,0
10019_mastercard_debit,15497_visa_debit,71.81500000000001,0
10019_mastercard_debit,15528_visa_debit,101.14285714285714,0
10019_mastercard_debit,15885_visa_debit,71.81500000000001,0
10019_mastercard_debit,16136_visa_debit,71.81500000000001,0
10019_mastercard_debit,16174_american express_credit,101.14285714285714,0
10019_mastercard_debit,16659_visa_credit,109.31110000000001,0
10019_mastercard_debit,1675_visa_debit,66.66178947368421,0
10019_mastercard_debit,16786_mastercard_debit,109.31110000000001,0
10019_mastercard_debit,16840_mastercard_credit,66.66178947368421,0
10019_mastercard_debit,16997_mastercard_debit,71.81500000000001,0
10019_mastercard_debit,17188_visa_debit,66.66178947368421,0
10019_mastercard_debit,1724_visa_credit,71.81500000000001,0
10019_mastercard_debit,17854_american express_credit,109.31110000000001,0
10019_mastercard_debit,18104_mastercard_credit,71.81500000000001,0
10019_mastercard_debit,2482_american express_credit,66.66178947368421,0
10019_mastercard_debit,2616_discover_credit,66.66178947368421,0
10019_mastercard_debit,2650_mastercard_debit,50.7018,0
10019_mastercard_debit,2971_visa_debit,66.66178947368421,0
10019_mastercard_debit,3052_visa_credit,71.81500000000001,0
10019_mastercard_debit,3063_mastercard_credit,71.81500000000001,0
10019_mastercard_debit,3154_mastercard_debit,50.7018,0
10019_mastercard_debit,3682_visa_credit,109.31110000000001,0
10019_mastercard_debit,3821_mastercard_credit,66.66178947368421,0
10019_mastercard_debit,4121_visa_credit,71.81500000000001,0
10019_mastercard_debit,4208_visa_debit,71.81500000000001,0
10019_mastercard_debit,4436_visa_debit,109.31110000000001,0
10019_mastercard_debit,4577_mastercard_credit,125.15116666666667,0
10019_mastercard_debit,4738_visa_credit,109.31110000000001,0
10019_mastercard_debit,5705_visa_credit,66.66178947368421,0
10019_mastercard_debit,5812_mastercard_debit,71.81500000000001,0
10019_mastercard_debit,5938_visa_credit,66.66178947368421,0
10019_mastercard_debit,5940_visa_credit,71.81500000000001,0
10019_mastercard_debit,6019_visa_credit,125.15116666666667,0
10019_mastercard_debit,6054_discover_credit,71.81500000000001,0
10019_mastercard_debit,6924_mastercard_debit,109.31110000000001,0
10019_mastercard_debit,7585_visa_credit,66.66178947368421,0
10019_mastercard_debit,7609_visa_debit,111.66666666666667,0
10019_mastercard_debit,7664_visa_debit,71.81500000000001,0
10019_mastercard_debit,9500_visa_debit,101.14285714285714,0
10019_mastercard_debit,9633_visa_debit,109.31110000000001,0
10019_mastercard_debit,9973_mastercard_debit,66.66178947368421,0
10023_X_X,10023_visa_debit,148892.73,0
10023_visa_debit,10004_visa_credit,97.06485,0
10023_visa_debit,10019_mastercard_debit,109.31110000000001,0
10023_visa_debit,10023_X_X,148892.73,0
10023_visa_debit,1030_visa_debit,97.06485,0
10023_visa_debit,10486_mastercard_credit,539.4798,0
10023_visa_debit,10616_visa_credit,160703.89575,0
10023_visa_debit,10699_visa_debit,539.4798,0
10023_visa_debit,10994_american express_credit,116.49315384615385,0
10023_visa_debit,11092_american express_credit,87.0,0
