node_id,account_age_days,balance_mean,balance_std,tx_count,is_fraud,tx_velocity_7d,fan_out_ratio,amount_entropy,risky_email,device_mobile,device_consistency,addr_entropy,d_gap_mean,card_network_risk,product_code_risk,international_flag,second_hop_fraud_rate,pagerank,in_out_ratio,reciprocity_score,ring_membership,ring_volume,community_fraud_rate,community_id
10000_mastercard_debit,83.0,29.0,0.0,1,0,1,0.5,0.0,0.3,0.0,1.0,-0.0,75.2,0.3,0.1,0.0,1.0,3.0496845986419326e-05,0.0,0.0,0,0.0,0.0,389
10003_X_X,0.0,42.777,0.0,1,0,1,0.0,0.0,0.3,1.0,0.0,-0.0,0.0,0.5,0.5,0.0,0.0,0.0001979600324211304,0.9999999308625179,0.6666666666666666,1,216.959,0.0,28
10003_visa_debit,8.75,22.08375,12.191178542290322,4,0,4,0.0,0.8112781244591328,0.15,0.75,0.5,-0.0,4.65,0.3,0.5,0.0,0.0,0.0001979600324211304,0.9999999308625179,0.6666666666666666,1,216.959,0.0,28
10004_visa_credit,29.29032258064516,334.7851612903226,460.0334731217644,31,1,2,0.40625,2.2846838103170857,0.2774193548387096,0.1290322580645161,0.935483870967742,3.357106794118264,33.36129032258064,0.3000000000000001,0.2483870967741935,0.0,0.967741935483871,5.944430753411771e-05,0.9999999990920346,0.972972972972973,299,3173599.731496952,0.3876146788990826,0
10005_american express_credit,0.0,181.25,37.5,4,0,1,0.2,0.8112781244591328,0.475,0.0,0.75,-0.0,0.0,0.2,0.7,0.0,1.0,3.0496845986419326e-05,0.0,0.0,0,0.0,0.0,390
10006_mastercard_credit,0.0,50.0,0.0,1,0,1,0.5,0.0,0.3,0.0,0.0,-0.0,0.0,0.3,0.3,0.0,1.0,3.0496845986419326e-05,0.0,0.0,0,0.0,0.0,391
10007_X_X,3.0,186.0,0.0,1,0,1,0.5,0.0,0.1,0.0,1.0,-0.0,1.8,0.5,0.1,0.0,1.0,0.0001979600324211304,0.9999999881555883,0.5,0,0.0,0.0,43
10007_visa_debit,89.29411764705883,88.38588235294117,60.90207878829173,17,0,1,0.0555555555555555,2.9109922530150456,0.2411764705882353,0.0588235294117647,0.8823529411764706,-0.0,59.0,0.3,0.1470588235294117,0.0,1.0,0.0001979600324211304,0.9999999881555883,0.5,0,0.0,0.0,43
10008_visa_debit,32.0,51.96666666666667,59.29958403451635,6,0,1,0.1428571428571428,0.6500224216483541,0.3,0.0,1.0,-0.0,73.60000000000001,0.3,0.0999999999999999,0.0,1.0,3.0496845986419326e-05,0.0,0.0,0,0.0,0.0,392
10009_visa_debit,56.09375,171.9375,114.216778892793,32,0,1,0.0606060606060606,2.748320381093429,0.325,0.0,1.0,0.9971803988942642,62.58125,0.3,0.1,0.0,1.0,3.0496845986419326e-05,0.0,0.0,0,0.0,0.0,393
1000_mastercard_debit,0.0,23.443,0.0,1,0,1,0.0,0.0,0.3,1.0,0.0,-0.0,2.0,0.3,0.5,1.0,0.0,3.7857060205598956e-05,0.9999999844277028,0.9333333333333333,0,0.0,0.3321637426900585,1
